,time,open,high,low,close,tick_volume,spread,real_volume
764,2025-04-25 08:00:00,3324.79,3327.1,3287.22,3294.31,5402,5,0
765,2025-04-25 09:00:00,3294.21,3306.11,3287.58,3304.39,5947,5,0
766,2025-04-25 10:00:00,3304.55,3314.54,3303.3,3306.98,4867,13,0
767,2025-04-25 11:00:00,3307.15,3307.86,3291.93,3303.66,4575,5,0
768,2025-04-25 12:00:00,3303.9,3308.74,3292.08,3292.15,4453,5,0
769,2025-04-25 13:00:00,3291.98,3306.34,3291.98,3297.99,4714,5,0
770,2025-04-25 14:00:00,3297.98,3300.95,3287.99,3293.41,4521,5,0
771,2025-04-25 15:00:00,3293.45,3303.03,3291.21,3292.63,4685,17,0
772,2025-04-25 16:00:00,3292.67,3292.89,3265.19,3281.17,6147,5,0
773,2025-04-25 17:00:00,3281.11,3287.01,3274.63,3277.96,5669,5,0
774,2025-04-25 18:00:00,3278.04,3285.39,3270.17,3282.89,5019,6,0
775,2025-04-25 19:00:00,3282.89,3287.5,3280.41,3285.35,4272,5,0
776,2025-04-25 20:00:00,3285.41,3295.15,3281.89,3293.11,4568,5,0
777,2025-04-25 21:00:00,3293.19,3297.06,3288.36,3288.39,3969,5,0
778,2025-04-25 22:00:00,3288.46,3312.39,3287.86,3304.79,4599,7,0
779,2025-04-25 23:00:00,3305.0,3319.18,3304.54,3318.62,2430,5,0
780,2025-04-28 01:00:00,3325.67,3337.54,3309.13,3310.63,4226,10,0
781,2025-04-28 02:00:00,3310.63,3318.1,3298.68,3302.62,4371,5,0
782,2025-04-28 03:00:00,3302.61,3315.91,3301.69,3314.15,3995,15,0
783,2025-04-28 04:00:00,3314.09,3315.13,3279.18,3281.02,5548,5,0
784,2025-04-28 05:00:00,3281.44,3286.24,3268.19,3280.84,4693,9,0
785,2025-04-28 06:00:00,3280.62,3295.1,3280.28,3290.86,3600,18,0
786,2025-04-28 07:00:00,3290.87,3299.01,3288.69,3298.95,2931,5,0
787,2025-04-28 08:00:00,3298.95,3300.91,3287.86,3295.07,3387,12,0
788,2025-04-28 09:00:00,3295.47,3296.43,3281.98,3283.28,4953,11,0
